cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
1 1 49 1.0057 0 0.8929 0.2867 2.6423 0.9808 0.2663 2.3324 0
1 2 49 1.0075 0 0.8422 -0.2236 1.9586 0.9502 -0.1983 1.8623 0
1 3 49 1.0012 0 0.9333 -0.6095 2.8051 0.9729 -0.5855 2.0072 0
1 4 47 1.0018 0 0.8714 0.2418 2.7809 0.8287 0.1843 1.5077 0
1 5 50 1.0074 0 0.8942 -0.4061 3.3155 0.9216 -0.0423 2.2191 0
1 6 50 1.0064 0 0.9477 0.6881 2.9158 0.9578 0.5858 2.6548 0
1 7 45 1.0007 0 0.8033 -0.613 3.1174 0.9594 -0.6108 2.1139 0
1 8 48 1.0033 0 0.7318 0.6512 3.5369 0.9794 0.5477 2.3729 0
1 9 52 1.01 0 0.8487 -0.7172 2.458 0.9672 -0.4983 1.9901 0
1 10 53 1.002 0 0.7551 -0.4848 2.2945 0.9905 -0.4324 2.2653 0
1 11 46 1.0067 0 0.9239 0.0233 2.7699 0.9604 -0.1101 1.6647 0
1 12 51 1.0032 0 0.9098 -0.4352 2.3581 0.9547 -0.4947 2.6042 0
1 13 50 1.0018 0 0.9823 -0.5225 2.3929 0.9885 -0.5375 1.8833 0
1 14 51 1.001 0 0.7886 -0.6282 3.2719 0.8934 -0.3308 2.2828 0
1 15 49 1.0039 0 0.9437 0.0924 3.1922 0.9807 -0.0474 2.1248 0
1 16 51 1.0023 0 0.8776 0.7153 2.834 0.9914 0.5073 2.7254 0
1 17 48 1.0034 0 0.8623 -0.3535 2.2073 0.8604 -0.0784 2.0829 0
1 18 47 1.0059 0 0.9372 0.8102 3.2402 0.8351 0.6621 1.9538 0
1 19 46 1.002 0 0.9557 -0.6193 3.0041 0.968 -0.4785 2.1857 0
1 20 52 1.0029 0 0.8199 1.0029 2.2435 0.981 0.8983 2.1372 0
1 21 44 1.0018 0 0.7805 1.2808 3.3392 0.9125 1.0508 2.1752 0
1 22 45 1.0055 0 0.9632 0.7576 3.1005 0.9349 0.7905 1.874 0
1 23 49 1.0029 0 0.8304 0.1149 2.9081 0.9009 -0.0341 1.7246 0
1 24 50 1.001 0 0.8902 0.2321 3.0396 0.9681 0.4431 2.202 0
