cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
6 1 150 1.0029 0 -0.5393 0.0788 4.5596 0.8327 -0.0369 16.1229 0.7761 -0.0469 2.3847 1
6 2 155 1.0026 0 0.5048 0.2024 7.2194 0.9566 0.2937 15.4335 0.8381 0.0454 2.3915 1
6 3 154 1.0042 0 0.4786 0.4655 4.9666 0.7764 1.222 20.0165 0.9495 0.5431 3.3427 1
6 4 143 1.002 0 0.0399 -0.0097 4.9347 0.9268 0.38 13.2315 0.8499 0.3232 2.4682 1
6 5 138 1.0023 0 0.6401 0.0382 4.3027 0.7859 -0.4174 12.0842 0.9438 -0.4834 3.78 1
6 6 151 1.0261 0 0.5743 0.4505 10.0806 0.8174 -0.4981 12.4286 0.7171 -0.2199 2.5602 1
6 7 158 1.0032 0 0.4516 0.1714 5.5072 0.9277 -0.3209 14.5622 0.8727 -0.1793 2.5392 1
6 8 158 1.0016 0 0.7337 0.0419 5.8713 0.907 -0.0924 15.994 0.9466 0.0239 2.4903 1
6 9 156 1.0021 0 -0.211 0.0174 10.6222 0.797 0.9556 17.9153 0.6524 0.6466 2.2951 1
6 10 142 1.0059 0 0.5969 0.0039 3.6217 0.962 0.7403 13.3792 0.9618 0.3737 4.1739 1
6 11 152 1.0016 0 0.8145 0.0985 5.1667 0.9723 0.0826 16.9636 0.7958 0.0573 2.2315 1
6 12 134 1.0035 0 0.1754 0.0602 4.4728 0.893 -0.1644 16.0066 0.9574 0.0393 2.9835 1
6 13 142 1.0037 0 0.7963 0.2156 3.9068 0.8293 -1.1169 15.3858 0.9684 -0.7457 3.5543 1
6 14 141 1.0112 0 -0.3116 0.1364 4.2644 0.9299 0.8383 32.8514 0.9493 0.2958 2.3151 1
6 15 152 1.0012 0 0.4854 0.3491 5.1657 0.8828 -0.2828 13.5373 0.9059 -0.1594 2.9817 1
6 16 139 1.0026 0 0.6549 -0.0881 3.2334 0.9409 -0.4143 7.6512 0.9614 -0.2537 4.106 1
6 17 150 1.0027 0 0.919 0.206 4.7803 0.9566 -0.1274 17.4274 0.8615 0.101 3.5001 1
6 18 156 1.0018 0 0.6589 0.0623 4.0282 0.9075 0.4687 14.0256 0.9319 0.4485 3.9235 1
6 19 129 1.006 0 0.9202 0.1029 3.4342 0.9644 0.7003 7.7564 0.9378 0.7319 4.0024 1
6 20 135 1.001 0 0.8066 -0.0417 2.8785 0.8602 0.1513 13.6601 0.9042 -0.1032 3.0103 1
6 21 136 1.0716 1 0.1857 0.2008 9.9827 0.9638 0.5236 17.7426 0.8619 0.7676 3.0668 1
6 22 165 1.0054 0 0.407 0.0216 6.7388 0.9526 0.3992 27.5443 0.8472 0.0517 2.2536 1
6 23 129 1.0048 0 -0.1416 0.1239 3.3176 0.8686 -0.2178 8.4685 0.9649 -0.055 2.6103 1
6 24 157 1.0015 0 0.4847 -0.016 4.7909 0.9342 -0.6146 20.6604 0.904 -0.0084 2.3497 1
