cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
8 1 769 1.0074 0 0.9579 -0.1725 2.7201 0.9672 -0.5414 8.4457 0.96 -0.6707 3.9508 1
8 2 751 1.0036 0 0.3404 -0.2216 2.195 0.9495 -0.5979 11.7824 0.9618 -0.3203 3.0204 1
8 3 721 1.0052 0 0.944 0.0407 4.0951 0.9449 -1.1558 22.6901 0.8399 -0.8121 2.7512 1
8 4 683 1.0064 0 0.8206 -0.1004 3.0633 0.8695 -1.1705 7.7888 0.876 -1.3889 5.5899 1
8 5 721 1.0044 0 0.8977 0.1507 3.8362 0.9201 1.2898 36.661 0.8982 0.3526 2.0234 1
8 6 681 1.0075 0 0.8488 0.0287 3.0514 0.9263 -0.2135 6.1562 0.957 -0.1664 3.3802 1
8 7 635 1.0025 0 0.1526 -0.0057 2.9805 0.9051 0.0487 17.9273 0.8834 0.4312 2.5175 1
8 8 732 1.004 0 0.7985 0.0989 2.6068 0.9493 -0.0042 6.5312 0.9592 0.1055 2.902 1
8 9 756 1.0017 0 0.7066 0.1042 2.3973 0.9332 0.386 8.8798 0.9693 0.2194 4.523 1
8 10 659 1.002 0 0.7364 0.1461 2.8512 0.9546 -0.3169 8.9525 0.9184 -0.2259 2.9402 1
8 11 666 1.0026 0 0.8214 0.2394 3.1521 0.9257 -0.6364 10.6154 0.9532 -0.4755 2.6904 1
8 12 658 1.0037 0 0.9736 0.1086 2.567 0.9655 -0.2715 6.3918 0.9418 -0.3574 2.5804 1
8 13 757 1.0082 0 0.4591 -0.1013 2.3297 0.9675 0.4496 5.1302 0.9785 0.3933 3.723 1
8 14 718 1.0025 0 0.8608 -0.0722 2.4579 0.9206 0.5514 18.4417 0.9334 0.2359 3.1032 1
8 15 619 1.0034 0 0.6668 0.1102 3.2073 0.943 -0.5274 8.1521 0.8696 -0.417 3.885 1
8 16 751 1.0036 0 0.6587 0.1552 2.9187 0.9675 0.4513 6.6999 0.9127 0.522 2.6383 1
8 17 652 1.0036 0 -0.099 -0.0222 1.9726 0.978 -0.1901 7.4182 0.9112 -0.1701 3.1254 1
8 18 652 1.008 0 0.5464 -0.2527 2.3431 0.9744 -0.149 9.3751 0.9323 -0.216 2.6874 1
8 19 722 1.0019 0 0.8583 -0.0196 2.4351 0.9607 -0.389 5.6289 0.949 -0.4909 3.2652 1
8 20 704 1.0055 0 0.9257 0.0705 3.7788 0.9521 0.1241 13.1391 0.8384 0.2903 2.0134 1
8 21 643 1.006 0 0.7468 0.1418 2.9608 0.9289 -1.2043 11.9708 0.9359 -0.8206 2.9125 1
8 22 720 1.0039 0 0.9674 0.1733 4.1244 0.8877 -0.8869 8.3807 0.8278 -0.673 3.3504 1
8 23 661 1.0031 0 0.6239 -0.0343 2.3294 0.9698 0.0995 11.9502 0.9173 -0.0139 2.4456 1
8 24 850 1.0043 0 0.6565 0.0654 2.0972 0.9736 -0.3243 10.0275 0.9199 -0.2039 2.9583 1
