cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
2 1 95 1.0058 0 0.9632 0.586 2.667 0.8762 0.6583 4.1499 0.2114 0.4328 1
2 2 47 1.0019 0 0.9519 -0.0727 1.6767 0.8733 -0.0509 2.9206 0.0627 0.3647 0
2 3 36 1.0095 0 0.9573 -0.2096 1.6965 0.8599 -0.1216 2.621 -0.1845 0.4651 0
2 4 47 1.0016 0 0.9362 -0.2478 2.0093 0.8937 -0.0873 2.8433 0.0573 0.411 0
2 5 40 1.0072 0 0.755 0.5063 2.1536 0.8447 0.3177 3.1095 -0.1651 0.5262 0
2 6 33 1.0054 0 0.982 -0.0392 1.7706 0.8756 -0.0183 2.6557 -0.2684 0.492 0
2 7 82 1.0102 0 0.7916 0.9698 3.1529 0.7869 0.6112 3.8044 0.0985 0.5711 0
2 8 39 1.0029 0 0.9706 -0.0074 2.1012 0.8052 0.0323 2.7261 -0.064 0.4154 0
2 9 45 1.0009 0 0.9268 0.2822 1.7759 0.9091 0.2976 3.163 0.0275 0.4066 0
2 10 51 1.003 0 0.9493 0.1615 1.6563 0.9059 0.2047 3.0649 0.1084 0.3501 0
2 11 40 1.0022 0 0.9761 -0.1048 2.0777 0.8854 0.0097 2.6443 -0.0706 0.4293 0
2 12 41 1.002 0 0.9593 0.228 2.0121 0.8694 0.1925 2.707 -0.0442 0.4218 0
2 13 41 1.0018 0 0.9539 0.0764 2.2285 0.8783 0.1261 2.9712 -0.0809 0.4754 0
2 14 38 1.002 0 0.9219 -0.0114 2.1262 0.8946 -0.1266 2.9291 -0.1326 0.4508 0
2 15 46 1.0025 0 0.884 0.0575 1.4925 0.8748 0.0882 2.8925 0.0475 0.3646 0
2 16 46 1.0022 0 0.8904 0.06 1.4611 0.9039 -0.0392 3.0273 0.0804 0.3664 0
2 17 37 1.0013 0 0.9451 -0.1118 2.4506 0.8546 -0.011 2.5513 -0.1282 0.4806 0
2 18 36 1.0051 0 0.937 0.2248 3.0051 0.8414 0.0552 2.7328 -0.1419 0.4737 0
2 19 41 1.0037 0 0.9158 0.0198 1.9694 0.8504 0.0243 3.0418 -0.0882 0.515 0
2 20 51 1.0159 0 0.8009 0.4398 2.7207 0.8453 0.323 3.4238 0.0358 0.5241 0
2 21 47 1.0045 0 0.7534 0.5955 1.5333 0.8975 0.4853 3.1856 0.0264 0.3966 0
2 22 44 1.0023 0 0.9679 -0.4439 2.124 0.8965 -0.3525 2.9462 0.0588 0.4089 0
2 23 46 1.0027 0 0.8823 -0.3237 1.6184 0.8923 -0.2606 2.9313 0.0331 0.3802 0
2 24 51 1.008 0 0.7887 -0.3585 1.8407 0.863 -0.1896 3.3029 0.0504 0.4268 0
