cond r run.time maxRhat nRhat alpha.cor alpha.bias alpha.CI beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI corrupt
15 1 6286 1.0042 0 0.2964 0.0109 1.7539 0.9533 -0.3649 7.1256 0.9377 -0.3152 2.3267 1
15 2 6739 1.0039 0 0.9219 -0.1111 1.6961 0.9947 -0.6163 5.4176 0.9716 -0.6208 2.901 1
15 3 6486 1.0053 0 0.8588 -0.0136 1.8341 0.9908 0.3679 5.3823 0.9618 0.4465 3.0625 1
15 4 6489 1.0008 0 0.8936 -0.0646 1.9741 0.9872 -0.4557 7.4959 0.9666 -0.2887 3.8917 1
15 5 6918 1.0018 0 0.7587 -0.0602 1.7297 0.9879 0.4262 3.5949 0.9721 0.5183 2.8682 0
15 6 6085 1.0011 0 0.6934 0.0244 1.8726 0.9697 -0.0237 8.898 0.9353 0.0927 2.204 1
15 7 6662 1.005 0 0.6561 -0.0559 1.6427 0.9834 -0.5052 5.9661 0.9705 -0.582 3.3278 1
15 8 6548 1.0026 0 0.7076 -0.1713 1.7819 0.9837 0.0675 9.2475 0.9761 -0.3046 3.6333 1
15 9 6658 1.004 0 0.7063 0.0417 1.8271 0.9611 -0.0801 5.438 0.9456 0.0392 2.6217 1
15 10 6984 1.0023 0 0.9583 0.0395 2.2485 0.9846 0.3249 4.4027 0.9688 0.3485 2.4021 1
15 11 7068 1.0103 0 0.9731 0.0349 2.1497 0.9936 -0.0083 4.6476 0.9658 -0.0581 2.8384 1
15 12 6570 1.0067 0 0.9429 -0.0253 1.6701 0.9832 -0.0273 4.3958 0.9505 -0.0136 2.2115 1
15 13 6147 1.0021 0 0.6697 0.0668 2.7156 0.9671 -0.4411 11.7848 0.9277 -0.216 2.2771 1
15 14 5990 1.0048 0 0.9122 0.0028 1.9424 0.9921 -0.7717 5.4537 0.9374 -0.8421 3.0874 1
15 15 6652 1.0085 0 0.9357 0.0785 2.0582 0.9716 0.2665 6.8824 0.9803 0.1518 3.4983 1
15 16 6490 1.003 0 0.8821 0.0179 1.5842 0.9926 -0.2668 4.1384 0.9719 -0.321 3.4661 1
15 17 6652 1.0043 0 0.7809 -0.151 1.5284 0.9942 0.1232 4.0326 0.9635 -0.0475 3.8462 1
15 18 6765 1.0073 0 0.9598 -0.0528 2.0618 0.9787 -0.0601 6.08 0.9426 0.0264 3.1365 1
15 19 6525 1.0101 0 0.9431 -0.1141 1.8408 0.9915 0.1514 4.385 0.9685 0.0716 2.3649 1
15 20 7346 1.0025 0 0.8516 -0.0367 1.7484 0.9719 -0.197 6.8644 0.9674 -0.1046 2.8746 1
15 21 6994 1.0016 0 0.9216 -0.2558 1.7646 0.9915 -0.2171 6.9177 0.9724 -0.1421 2.438 1
15 22 6818 1.0053 0 0.9212 0.0263 1.6888 0.9953 -0.0511 3.3412 0.9759 0.0034 2.4469 0
15 23 6620 1.0037 0 0.9242 -0.0201 2.0269 0.9949 -0.5741 4.8603 0.9651 -0.6129 3.0678 1
15 24 8951 1.0044 0 0.9009 -0.1248 1.9713 0.9732 -0.432 6.3402 0.971 -0.6932 3.5347 1
