cond r run.time maxRhat nRhat beta.cor beta.bias beta.CI theta.cor theta.bias theta.CI lambda.bias lambda.CI corrupt
13 1 258 1.0066 0 0.9615 0.1498 2.2936 0.94 0.0966 2.3806 0.073 0.272 0
13 2 225 1.0033 0 0.9838 -0.0048 1.5483 0.9535 0.0166 2.6164 -0.0073 0.2809 0
13 3 232 1.0078 0 0.9655 0.1376 2.219 0.939 0.0904 2.4017 0.0181 0.3048 0
13 4 224 1.0032 0 0.9761 0.0962 2.265 0.9459 0.1175 2.222 0.0194 0.2784 0
13 5 196 1.0103 0 0.9746 -0.2177 1.9556 0.9353 -0.2681 2.1033 -0.1119 0.3165 0
13 6 245 1.0075 0 0.968 0.0347 2.2223 0.9498 0.0276 2.2193 0.0429 0.253 0
13 7 214 1.002 0 0.9736 0.0787 1.5128 0.9441 0.0757 2.0162 -0.0437 0.2948 0
13 8 235 1.0066 0 0.9718 0.1497 1.9087 0.9488 0.0946 2.2412 0.0424 0.2621 0
13 9 317 1.0025 0 0.9825 0.094 2.0722 0.9415 0.0262 2.2276 0.1208 0.2485 0
13 10 213 1.0026 0 0.9689 -0.4437 2.3742 0.947 -0.3824 2.2628 -0.0112 0.2956 0
13 11 335 1.0039 0 0.9745 0.3046 2.477 0.9479 0.195 2.5439 0.1026 0.2686 0
13 12 207 1.0022 0 0.9588 0.1512 1.8789 0.9465 0.1352 2.1923 -0.074 0.274 0
13 13 228 1.0075 0 0.96 0.0525 2.2303 0.9322 0.0026 2.3719 -5e-04 0.2924 0
13 14 206 1.0032 0 0.96 -0.132 1.6666 0.9611 -0.1362 2.2655 -0.0809 0.2778 0
13 15 216 1.0101 0 0.9735 0.0233 1.7412 0.9488 0.0264 2.4634 -0.0173 0.2902 0
13 16 205 1.001 0 0.9544 0.0922 2.727 0.9256 0.0517 1.9009 -0.0623 0.3363 0
13 17 201 1.0059 0 0.9622 0.1633 1.8934 0.9384 0.2456 2.1446 -0.1302 0.325 0
13 18 218 1.0029 0 0.9842 -0.0915 2.2074 0.9534 -0.0755 2.1436 0.0084 0.2849 0
13 19 219 1.0029 0 0.9737 0.1167 2.1485 0.9426 0.045 2.1152 -0.0443 0.2796 0
13 20 227 1.0058 0 0.9684 0.1808 2.2536 0.9407 0.1938 2.2478 -0.0294 0.3009 0
13 21 236 1.0022 0 0.9454 -0.2825 2.7719 0.9367 -0.1357 2.1464 0.0024 0.3026 0
13 22 232 1.012 0 0.9547 -0.2566 2.4626 0.9471 -0.2219 2.4192 0.0274 0.2785 0
13 23 204 1.0037 0 0.9693 -0.1904 2.6559 0.9344 -0.1525 2.3261 -0.1191 0.3162 0
13 24 221 1.0038 0 0.9718 -0.1161 2.3784 0.9468 -0.0749 2.4915 -0.0417 0.2944 0
