cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
5 1 234 0 0 0 3 1 1.007 0 -0.5979 0.1131 0.1421 0.1595 1.0604 0.998 -0.0652 0.1133 0.1407 2.3108 0.6603 -0.0534 0.6877 0.8589 3.6129 -0.1519 0.1519 0.3765 0 1
5 2 267 0 0 0 0 0 1.004 0 0.9982 -0.0972 0.0972 0.1062 0.7687 0.9926 -0.2145 0.288 0.3157 1.8975 0.7514 -0.1612 0.6338 0.7931 3.7397 0.0609 0.0609 0.2771 0 0
5 3 277 0 0 0 0 0 1.0035 0 0.513 -0.246 0.246 0.2726 0.6381 0.9983 -0.0923 0.1916 0.2263 1.6627 0.7971 -0.0421 0.5553 0.6964 3.6552 0.1015 0.1015 0.2679 0 0
5 4 285 0 0 0 1 0 1.0031 0 0.9431 -0.0364 0.0707 0.0758 0.7168 0.9959 0.0485 0.1015 0.1123 1.2405 0.7569 0.1054 0.5972 0.7636 3.5232 -0.0123 0.0123 0.2939 0 1
5 5 270 0 0 0 2 0 1.0085 0 0.9496 -0.0246 0.0697 0.0873 0.7538 0.998 0.1202 0.1268 0.1673 2.8377 0.7106 0.1055 0.6563 0.8139 3.8769 0.0956 0.0956 0.3047 0 1
5 6 256 0 0 0 2 0 1.0032 0 0.9765 0.0119 0.1719 0.1996 0.9946 0.9946 -0.2318 0.2434 0.301 2.3401 0.7374 -0.126 0.6006 0.7627 3.4439 -0.0145 0.0145 0.2716 0 1
5 7 264 0 0 0 1 0 1.003 0 0.9791 0.0365 0.1134 0.1227 0.8468 0.9891 -0.1301 0.1525 0.2739 2.4845 0.7728 -0.1214 0.6028 0.7514 3.4097 0.0336 0.0336 0.2539 0 1
5 8 285 0 0 0 0 0 1.0049 0 0.9846 -0.2008 0.2081 0.265 0.79 0.9913 -0.1251 0.1935 0.265 1.3818 0.8132 -0.0407 0.5122 0.6442 3.392 0.0318 0.0318 0.2689 0 0
5 9 284 0 0 0 0 0 1.0021 0 1 0.0555 0.1156 0.1346 0.8395 0.9947 -0.0437 0.1055 0.1235 1.1485 0.7945 0.0337 0.5687 0.7291 3.3523 0.0483 0.0483 0.2441 0 0
5 10 265 0 0 0 1 0 1.0031 0 -0.9213 -0.2113 0.2113 0.2378 0.6957 0.9947 0.0694 0.2963 0.3522 1.8383 0.7613 0.1664 0.5885 0.7467 3.6185 0.0749 0.0749 0.2504 0 1
5 11 255 0 0 0 2 2 1.0135 1 0.8492 0.0287 0.1672 0.1697 1.117 0.9854 0.0217 0.1191 0.1595 1.0816 0.7713 0.1444 0.6192 0.7794 3.3546 -0.0124 0.0124 0.2752 1 1
5 12 254 0 0 0 2 0 1.0036 0 0.919 -0.0669 0.143 0.1484 0.8826 0.9954 0.0495 0.1364 0.16 1.4264 0.7913 0.0994 0.5474 0.6761 3.4162 -0.0153 0.0153 0.2386 0 1
5 13 285 0 0 0 2 0 1.009 0 0.781 -0.0996 0.1525 0.1615 0.7248 0.9984 -0.0636 0.1949 0.2154 2.2085 0.8207 -0.1359 0.5538 0.699 3.478 0.0772 0.0772 0.222 0 1
5 14 262 0 0 0 1 0 1.0046 0 0.7551 -0.1007 0.1007 0.1436 0.7777 0.9869 -0.0103 0.1792 0.2156 1.9257 0.7289 0.083 0.6311 0.7915 3.6552 0.0204 0.0204 0.2982 0 1
5 15 260 0 0 0 0 0 1.0062 0 0.9991 -0.218 0.218 0.2569 0.7233 0.9995 -0.0085 0.2649 0.3204 2.4224 0.756 -0.1019 0.5976 0.7548 3.7417 0.0743 0.0743 0.282 0 0
5 16 287 0 0 0 2 0 1.0059 0 0.6078 0.1222 0.241 0.262 0.9868 0.9871 -0.1854 0.2213 0.2513 1.3006 0.7602 -0.1568 0.662 0.8301 3.3741 0.0606 0.0606 0.2582 0 1
5 17 289 0 0 0 1 0 1.0035 0 0.9982 -0.0481 0.0481 0.0496 0.7234 0.9962 -0.0248 0.0972 0.1159 1.1926 0.8155 -0.0365 0.5341 0.6745 3.3802 0.0744 0.0744 0.2454 0 1
