cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
2 1 58 1 0 0 0 0 1.0067 0 0.8315 -0.041 0.0884 0.1037 1.3595 0.9807 -0.262 0.2689 0.3769 3.896 0.8153 -0.1951 0.6008 0.7308 3.8435 0.0773 0.0773 0.5146 1 0
2 2 59 0 0 0 1 0 1.0048 0 0.7226 0.3661 0.3661 0.4405 2.1568 0.971 -0.1866 0.2841 0.3767 2.0947 0.7894 -0.1547 0.6065 0.7507 3.6023 0.0449 0.0449 0.4677 0 1
2 3 59 3 0 0 19 3 1.0072 0 -0.6711 0.0857 0.2468 0.2696 2.6965 0.9751 -0.0694 0.308 0.3436 6.5483 0.7121 -3e-04 0.5283 0.6805 4.1312 -0.1623 0.1623 0.8507 1 1
2 4 288 864 0 0 0 0 1.0039 0 0.9928 -0.2898 0.7481 0.7534 3.9233 0.8752 5.765 5.765 7.5777 34.956 0.6336 3.4262 3.4284 3.7439 8.6671 0.4667 0.4667 0.081 1 0
2 5 54 0 0 0 0 0 1.0026 0 -0.5188 0.0676 0.3073 0.3571 1.5489 0.9761 -0.0487 0.2684 0.3104 3.7832 0.7411 0.2153 0.5688 0.7199 3.3927 -0.089 0.089 0.557 0 0
2 6 53 0 0 0 1 0 1.0057 0 0.9996 -0.1431 0.1431 0.144 1.7849 0.979 0.0484 0.3495 0.4839 5.9892 0.6824 -0.0262 0.6062 0.7944 3.688 -0.1987 0.1987 0.7264 0 1
2 7 58 1 0 0 12 3 1.0137 1 -0.9491 -0.0549 0.3381 0.3437 2.6061 0.9593 0.1135 0.6239 0.7609 7.6707 0.6953 0.0192 0.6595 0.8162 3.9963 -0.3917 0.3917 1.0196 1 1
2 8 54 0 0 0 1 0 1.0057 0 0.7531 0.0722 0.1986 0.2585 1.7385 0.9952 -0.0493 0.1127 0.1431 4.4495 0.744 -0.0892 0.5431 0.6908 3.2761 -0.0923 0.0923 0.6159 0 1
2 9 75 10 0 0 5 0 1.0036 0 0.9666 -0.077 0.0819 0.0977 1.4736 0.9885 4e-04 0.3331 0.4294 3.8232 0.7604 0.134 0.6287 0.7949 3.9267 0.1319 0.1319 0.5735 1 1
2 10 115 73 0 0 2 41 1.0067 0 0.8133 0.0227 0.3327 0.3698 2.0219 0.8894 -0.514 0.7984 1.1282 8.6877 0.7503 -0.6057 0.8301 1.0225 4.9087 0.2618 0.2618 0.4189 1 1
2 11 67 4 0 0 1 0 1.0075 0 -0.2785 -0.2293 0.2293 0.3698 1.4327 0.9874 0.2092 0.3271 0.455 3.7184 0.7771 0.2237 0.5961 0.7585 3.6893 0.0732 0.0732 0.5619 1 1
2 12 52 0 0 0 2 0 1.0038 0 0.8795 0.1159 0.1825 0.1917 1.9402 0.9714 0.0698 0.2897 0.3591 7.5161 0.7025 0.2211 0.7181 0.8711 3.5765 -0.2948 0.2948 0.7266 0 1
2 13 57 2 0 0 4 0 1.0129 1 -0.2868 -0.0518 0.3862 0.4002 2.2631 0.9522 0.1644 0.4789 0.681 6.0527 0.7678 0.2541 0.6735 0.8322 3.8308 -0.1636 0.1636 0.8716 1 1
2 14 56 0 0 0 0 0 1.0119 1 0.9786 -0.0694 0.0798 0.0999 1.6032 0.9827 -0.278 0.3344 0.3694 3.2758 0.7964 -0.2775 0.6483 0.8088 3.549 0.0131 0.0131 0.5244 1 0
2 15 66 45 0 0 80 104 1.0275 21 -0.9539 -0.0244 0.4207 0.489 2.9609 0.9078 -0.292 0.6299 0.8762 9.466 0.6099 0.3944 0.7904 1.0047 4.4074 -0.1105 0.1105 0.7959 1 1
2 16 105 44 0 0 9 2 1.0051 0 0.0768 -0.5439 0.5439 0.7395 1.3706 0.961 -0.1901 0.4542 0.5785 4.7501 0.7864 -0.1204 0.6546 0.8579 4.8182 0.2623 0.2623 0.4169 1 1
2 17 57 10 0 0 1 0 1.0111 1 -0.2311 -0.1313 0.1327 0.1705 1.4327 0.9787 -0.1212 0.2918 0.3419 4.4472 0.6998 -0.2528 0.6584 0.8316 3.9952 0.0093 0.0093 0.6515 1 1
2 18 55 0 0 0 1 0 1.0018 0 -0.2463 -0.0529 0.2792 0.3333 1.7947 0.9466 0.2625 0.5135 0.839 9.9945 0.6964 0.0219 0.6188 0.7388 3.7425 -0.1136 0.1136 0.6983 0 1
2 19 53 0 0 0 2 0 1.0037 0 0.78 0.231 0.4914 0.65 3.3299 0.8002 -0.1158 0.7779 1.3146 13.0254 0.6932 0.1729 0.5932 0.7529 3.2968 -0.15 0.15 0.5419 0 1
2 20 55 0 0 0 1 0 1.0024 0 0.9964 0.0718 0.1352 0.1497 1.6148 0.9969 -0.0117 0.105 0.1213 2.6759 0.8394 -0.1264 0.563 0.7292 3.1103 -0.0524 0.0524 0.4832 0 1
2 21 68 33 0 0 1 1 1.0084 0 0.6385 -0.1852 0.193 0.2575 1.5123 0.9758 0.3113 0.408 0.5164 4.8921 0.7319 0.2923 0.6792 0.8434 4.6403 0.0581 0.0581 0.7073 1 1
2 22 61 0 0 0 1 0 1.0036 0 0.2652 0.3143 0.3143 0.3643 1.5328 0.9701 -0.3422 0.3592 0.4302 1.4656 0.8486 -0.2592 0.5767 0.7246 3.4655 0.0576 0.0576 0.4607 0 1
